# Matter power spectrum P(k) at redshift z=0
# for k=1.04513e-05 to 1.5402 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.353459275586e-02       1.466436221702e+04 
       4.377905833080e-02       1.458154613625e+04 
       4.402781691000e-02       1.449863946872e+04 
       4.428110071757e-02       1.441509818899e+04 
       4.453915996440e-02       1.433152984815e+04 
       4.480226470639e-02       1.424758484169e+04 
       4.507070694383e-02       1.416330703208e+04 
       4.534480299963e-02       1.407861921539e+04 
       4.562489622102e-02       1.399365720902e+04 
       4.591136005792e-02       1.390800992806e+04 
       4.620460158105e-02       1.382217893358e+04 
       4.650506551546e-02       1.373553131864e+04 
       4.681323888046e-02       1.364842668723e+04 
       4.712965634542e-02       1.356073312878e+04 
       4.745490643406e-02       1.347237467837e+04 
       4.778963873874e-02       1.338329543706e+04 
       4.813457234150e-02       1.329343472923e+04 
       4.849050568357e-02       1.320267657009e+04 
       4.885832818076e-02       1.311099423653e+04 
       4.923903395287e-02       1.301831774466e+04 
       4.963373812427e-02       1.292454773484e+04 
       5.004369626615e-02       1.282947186922e+04 
       5.047032769478e-02       1.273305612570e+04 
       5.091524352382e-02       1.263515441400e+04 
       5.138028060236e-02       1.253557759366e+04 
       5.186754276829e-02       1.243414616174e+04 
       5.237945122366e-02       1.233062640305e+04 
       5.291880631195e-02       1.222473509199e+04 
       5.348886356162e-02       1.211627566302e+04 
       5.409342755945e-02       1.200472172171e+04 
       5.473696801067e-02       1.188970925609e+04 
       5.542476314422e-02       1.177071748874e+04 
       5.616307621712e-02       1.164701141112e+04 
       5.695937077636e-02       1.151776190508e+04 
       5.782256854636e-02       1.138192481759e+04 
       5.876334834550e-02       1.123808187779e+04 
       5.979447160450e-02       1.108452542705e+04 
       6.093109346058e-02       1.091885309112e+04 
       6.219096821350e-02       1.073809062533e+04 
       6.359437274413e-02       1.053826623450e+04 
       6.516344883272e-02       1.031436329059e+04 
       6.692054250008e-02       1.006021496416e+04 
       6.888513060146e-02       9.768856493440e+03 
       7.106934049740e-02       9.433404942714e+03 
       7.347311283263e-02       9.049047054993e+03 
       7.608132692437e-02       8.615352930317e+03 
       7.886526329233e-02       8.138322466548e+03 
       8.178850179032e-02       7.630752183623e+03 
       8.481436232721e-02       7.110401378738e+03 
       8.791141474419e-02       6.596919723517e+03 
       9.105567605537e-02       6.108606058029e+03 
       9.423026813980e-02       5.660091966636e+03 
       9.742394149256e-02       5.261114196741e+03 
       1.006294586301e-01       4.916349346356e+03 
       1.038422665120e-01       4.625809978129e+03 
       1.070595405934e-01       4.385772119654e+03 
       1.102795435872e-01       4.189697132477e+03 
       1.135012124615e-01       4.029201750324e+03 
       1.167238987286e-01       3.894952891633e+03 
       1.199472074461e-01       3.777492139549e+03 
       1.231708982625e-01       3.668039304557e+03 
       1.263948249105e-01       3.559127884459e+03 
       1.296188983250e-01       3.445219800896e+03 
       1.328430642017e-01       3.323021750448e+03 
       1.360672893590e-01       3.191563251946e+03 
       1.392915534533e-01       3.051981778334e+03 
       1.425158439484e-01       2.907106576247e+03 
       1.457401530614e-01       2.760799958449e+03 
       1.489644759076e-01       2.617371318894e+03 
       1.521888093738e-01       2.480962770055e+03 
       1.554131514332e-01       2.355084273356e+03 
       1.586375007292e-01       2.242308150889e+03 
       1.618618563212e-01       2.144112187383e+03 
       1.650862175301e-01       2.060863995605e+03 
       1.683105838434e-01       1.991909726844e+03 
       1.715349548570e-01       1.935736530358e+03 
       1.747593302393e-01       1.890183993115e+03 
       1.779837097086e-01       1.852667155066e+03 
       1.812080930193e-01       1.820420932960e+03 
       1.844324799527e-01       1.790951151204e+03 
       1.876568703108e-01       1.761938215550e+03 
       1.908812639131e-01       1.730994117845e+03 
       1.941056605929e-01       1.696619527787e+03 
       1.973300601962e-01       1.658036834927e+03 
       2.005544625793e-01       1.615207985089e+03 
       2.037788676087e-01       1.568736889883e+03 
       2.070032751591e-01       1.519735266206e+03 
       2.102276851135e-01       1.469585904438e+03 
       2.134520973618e-01       1.419716650164e+03 
       2.166765118009e-01       1.371428027536e+03 
       2.199009283335e-01       1.325789280949e+03 
       2.231253468683e-01       1.283582319191e+03 
       2.263497673189e-01       1.245295606874e+03 
       2.295741896042e-01       1.211118216787e+03 
       2.327986136474e-01       1.180968931776e+03 
       2.360230393759e-01       1.154496178689e+03 
       2.392474667211e-01       1.131122364966e+03 
       2.424718956181e-01       1.110093495914e+03 
       2.456963260055e-01       1.090565111318e+03 
       2.489207578248e-01       1.071696242218e+03 
       2.521451910209e-01       1.052743255925e+03 
       2.553696255412e-01       1.033122105689e+03 
       2.585940613359e-01       1.012447350986e+03 
       2.618184983577e-01       9.905383524914e+02 
       2.650429365614e-01       9.673935026856e+02 
       2.682673759043e-01       9.431763252354e+02 
       2.714918163454e-01       9.181762479593e+02 
       2.747162578459e-01       8.927820257475e+02 
       2.779407003688e-01       8.674443572818e+02 
       2.811651438785e-01       8.426256097762e+02 
       2.843895883414e-01       8.187487427411e+02 
       2.876140337253e-01       7.961508129940e+02 
       2.908384799993e-01       7.750493187342e+02 
       2.940629271340e-01       7.555296101064e+02 
       2.972873751012e-01       7.375610236520e+02 
       3.005118238740e-01       7.210158564779e+02 
       3.037362734266e-01       7.057064419654e+02 
       3.069607237344e-01       6.914110623156e+02 
       3.101851747735e-01       6.778914568633e+02 
       3.134096265214e-01       6.649154484620e+02 
       3.166340789563e-01       6.522594128035e+02 
       3.198585320573e-01       6.397285181820e+02 
       3.230829858043e-01       6.271708249901e+02 
       3.263074401781e-01       6.144912993096e+02 
       3.295318951603e-01       6.016670649297e+02 
       3.327563507330e-01       5.887277280887e+02 
       3.359808068792e-01       5.757653717308e+02 
       3.392052635824e-01       5.628923637622e+02 
       3.424297208269e-01       5.502326457448e+02 
       3.456541785973e-01       5.379031855125e+02 
       3.488786368791e-01       5.260035932121e+02 
       3.521030956582e-01       5.146162524017e+02 
       3.553275549209e-01       5.038014724795e+02 
       3.585520146541e-01       4.935971469991e+02 
       3.617764748453e-01       4.840138564207e+02 
       3.650009354821e-01       4.750310143086e+02 
       3.682253965529e-01       4.665977791932e+02 
       3.714498580464e-01       4.586371659333e+02 
       3.746743199514e-01       4.510584903605e+02 
       3.778987822575e-01       4.437679839998e+02 
       3.811232449545e-01       4.366847979124e+02 
       3.843477080325e-01       4.297439665343e+02 
       3.875721714818e-01       4.228997333698e+02 
       3.907966352934e-01       4.161226301432e+02 
       3.940210994581e-01       4.093958526283e+02 
       3.972455639676e-01       4.027117083067e+02 
       4.004700288132e-01       3.960741970029e+02 
       4.036944939871e-01       3.894987315109e+02 
       4.069189594813e-01       3.830086410989e+02 
       4.101434252882e-01       3.766371752319e+02 
       4.133678914006e-01       3.704175768102e+02 
       4.165923578113e-01       3.643774829442e+02 
       4.198168245133e-01       3.585353912866e+02 
       4.230412915000e-01       3.528974053171e+02 
       4.262657587650e-01       3.474598306289e+02 
       4.294902263019e-01       3.422139210713e+02 
       4.327146941046e-01       3.371468155482e+02 
       4.359391621672e-01       3.322463895622e+02 
       4.391636304840e-01       3.274982385849e+02 
       4.423880990493e-01       3.228844562951e+02 
       4.456125678579e-01       3.183836208096e+02 
       4.488370369043e-01       3.139704972773e+02 
       4.520615061835e-01       3.096222974615e+02 
       4.552859756906e-01       3.053189252781e+02 
       4.585104454206e-01       3.010473647152e+02 
       4.617349153690e-01       2.968042611314e+02 
       4.649593855312e-01       2.925909542726e+02 
       4.681838559027e-01       2.884119895038e+02 
       4.714083264792e-01       2.842734167278e+02 
       4.746327972565e-01       2.801801886392e+02 
       4.778572682306e-01       2.761380007285e+02 
       4.810817393975e-01       2.721537392110e+02 
       4.843062107533e-01       2.682364537317e+02 
       4.875306822942e-01       2.643967060981e+02 
       4.907551540167e-01       2.606431338793e+02 
       4.939796259170e-01       2.569807408233e+02 
       4.972040979919e-01       2.534093785008e+02 
       5.004285702378e-01       2.499236991852e+02 
       5.036530426515e-01       2.465149523520e+02 
       5.068775152297e-01       2.431739673348e+02 
       5.101019879694e-01       2.398931728229e+02 
       5.133264608674e-01       2.366670166196e+02 
       5.165509339209e-01       2.334914194613e+02 
       5.197754071269e-01       2.303630071433e+02 
       5.229998804826e-01       2.272777415180e+02 
       5.262243539851e-01       2.242311234719e+02 
       5.294488276319e-01       2.212196213835e+02 
       5.326733014203e-01       2.182426137510e+02 
       5.358977753477e-01       2.153020674085e+02 
       5.391222494117e-01       2.124023222514e+02 
       5.423467236098e-01       2.095494139806e+02 
       5.455711979395e-01       2.067477149625e+02 
       5.487956723986e-01       2.039994336625e+02 
       5.520201469849e-01       2.013044464657e+02 
       5.552446216960e-01       1.986616156596e+02 
       5.584690965298e-01       1.960694903782e+02 
       5.616935714842e-01       1.935281385973e+02 
       5.649180465572e-01       1.910382738967e+02 
       5.681425217466e-01       1.886004668064e+02 
       5.713669970506e-01       1.862141821587e+02 
       5.745914724672e-01       1.838770908009e+02 
       5.778159479944e-01       1.815855309132e+02 
       5.810404236305e-01       1.793351490928e+02 
       5.842648993737e-01       1.771232328466e+02 
       5.874893752221e-01       1.749476788145e+02 
       5.907138511740e-01       1.728087406472e+02 
       5.939383272279e-01       1.707063948226e+02 
       5.971628033819e-01       1.686412613553e+02 
       6.003872796345e-01       1.666122732672e+02 
       6.036117559841e-01       1.646174042187e+02 
       6.068362324291e-01       1.626550319855e+02 
       6.100607089681e-01       1.607242318195e+02 
       6.132851855995e-01       1.588256291983e+02 
       6.165096623219e-01       1.569604166844e+02 
       6.197341391339e-01       1.551304431755e+02 
       6.229586160341e-01       1.533362889499e+02 
       6.261830930210e-01       1.515771631660e+02 
       6.294075700935e-01       1.498514107814e+02 
       6.326320472501e-01       1.481565124718e+02 
       6.358565244895e-01       1.464911247427e+02 
       6.390810018106e-01       1.448543055672e+02 
       6.423054792121e-01       1.432459645522e+02 
       6.455299566927e-01       1.416661524319e+02 
       6.487544342513e-01       1.401143444479e+02 
       6.519789118868e-01       1.385892068540e+02 
       6.552033895980e-01       1.370883595628e+02 
       6.584278673837e-01       1.356100411903e+02 
       6.616523452430e-01       1.341529099775e+02 
       6.648768231746e-01       1.327164545104e+02 
       6.681013011777e-01       1.313014747189e+02 
       6.713257792510e-01       1.299086006207e+02 
       6.745502573937e-01       1.285381075476e+02 
       6.777747356047e-01       1.271889614000e+02 
       6.809992138831e-01       1.258602272600e+02 
       6.842236922279e-01       1.245503228880e+02 
       6.874481706381e-01       1.232587547948e+02 
       6.906726491129e-01       1.219852035037e+02 
       6.938971276514e-01       1.207307290601e+02 
       6.971216062526e-01       1.194953723679e+02 
       7.003460849157e-01       1.182795356242e+02 
       7.035705636398e-01       1.170821904969e+02 
       7.067950424242e-01       1.159018778977e+02 
       7.100195212679e-01       1.147374254062e+02 
       7.132440001702e-01       1.135879254379e+02 
       7.164684791303e-01       1.124532886500e+02 
       7.196929581474e-01       1.113338498550e+02 
       7.229174372207e-01       1.102299157812e+02 
       7.261419163495e-01       1.091416624786e+02 
       7.293663955331e-01       1.080682356274e+02 
       7.325908747707e-01       1.070086576860e+02 
       7.358153540616e-01       1.059616532907e+02 
       7.390398334051e-01       1.049271491485e+02 
       7.422643128006e-01       1.039051483533e+02 
       7.454887922473e-01       1.028962391852e+02 
       7.487132717445e-01       1.019010831770e+02 
       7.519377512918e-01       1.009194988716e+02 
       7.551622308883e-01       9.995126470060e+01 
       7.922191491175e-01       8.965431508595e+01 
       8.325925372961e-01       7.999789405388e+01 
       8.765671498766e-01       7.105004985369e+01 
       9.243641904359e-01       6.285520716091e+01 
       9.761249453536e-01       5.541529891938e+01 
       1.031917538522e+00       4.870486308434e+01 
       1.091766998788e+00       4.269374714322e+01 
       1.155695886856e+00       3.734894715725e+01 
       1.223758629182e+00       3.263068406207e+01 
       1.296059850769e+00       2.848082128541e+01 
       1.372757276358e+00       2.483858955075e+01 
       1.454055443460e+00       2.164718837103e+01 
       1.540196609944e+00       1.885423006388e+01 
